endTime,artistName,trackName,msPlayed,id,genre,language
2022-07-03 07:21,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-03 13:45,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-06 13:30,Lauv,I Like Me Better,155698,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-06 17:04,Lauv,I Like Me Better,120001,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-06 17:18,Lauv,I Like Me Better,109914,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-06 17:36,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-21 12:59,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-24 06:57,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-27 13:05,Lauv,I Like Me Better,292104,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-07-30 07:02,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-08-01 07:21,Lauv,Who (feat. BTS),31792,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-08-06 09:48,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-08-09 14:19,Lauv,I Like Me Better,281347,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-08-10 06:48,Lauv,I Like Me Better,152077,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-08-14 07:35,Lauv,I Like Me Better,186455,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-09-06 06:22,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-09-07 06:24,Lauv,I Like Me Better,78542,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-09-07 11:39,Lauv,I Like Me Better,200932,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-09-24 09:24,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-10-01 10:27,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-10-09 12:42,Lauv,I Like Me Better,197436,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-10-16 11:57,Lauv,I Like Me Better,132927,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2022-10-17 03:58,Lauv,I Like Me Better,194544,5JZ7CnR6gTvEMKX4g70Amv,['pop'],English
2021-12-21 14:19,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2021-12-26 14:09,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2021-12-27 13:53,The PropheC,Kina Chir,2221,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2021-12-30 17:51,The PropheC,Kina Chir,1828,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2021-12-30 18:24,The PropheC,Kina Chir,14505,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2021-12-30 19:24,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-01-02 11:28,The PropheC,Kina Chir,216026,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
2022-01-02 12:01,The PropheC,Kina Chir,145912,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi
